Unnamed: 0,Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings
0,Bahubali: The Beginning,2015.0,UA,"Action, Drama            ","    In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",159,8.1,99114
1,Baahubali 2: The Conclusion,2017.0,UA,"Action, Drama            ","    When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",167,8.2,71458
2,1 - Nenokkadine,2014.0,UA,"Action, Thriller            ",    A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,170,8.1,42372
8,Arjun Reddy,2017.0,A,"Action, Drama, Romance            ","    Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.",182,8.1,19419
9,Rangasthalam,2018.0,UA,"Action, Drama            ","    The fear of his elder brother's death starts to haunt an innocent, hearing impaired guy after they both join forces to overthrow the unlawful 30 year long regime of their village's president.",170,8.4,17559
18,Athadu,2005.0,U,"Action, Thriller            ","    A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.",172,8.2,11459
31,Mahanati,2018.0,U,"Biography, Drama            ","    Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.",177,8.5,8732
39,Bommarillu,2006.0,U,"Comedy, Drama, Romance            ",    A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.,170,8.2,8111
50,Vedam,2010.0,A,"Action, Drama            ",    A terrorist threat puts five people in jeopardy.,135,8.1,6492
54,Jersey,2019.0,U,"Drama, Sport            ",    A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,157,8.6,6039
65,Pelli Choopulu,2016.0,UA,"Comedy, Drama, Romance            ","    This is an urban rom-com in a modern setting where tradition still has a strong hold. The story starts with the ""pellichoopulu"" or arranged meeting of Prashanth (Vijay Deverakonda) and ...                See full summary »",125,8.2,5167
72,Agent Sai Srinivasa Athreya,2019.0,UA,"Action, Comedy, Crime            ",    Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,148,8.5,4985
83,Kshanam,2016.0,,Thriller            ,"    Rishi, a non-resident Indian, returns to India to help his ex-lover find her kidnapped daughter.",110,8.3,4231
92,Maya Bazaar,1957.0,U,"Comedy, Drama, Family            ","    Balarama promises Subhadra to get his daughter married to her son. But when the Pandavas loses their kingdom to the Kaurava's, Balarama breaks his promise.",192,9.2,3733
96,C/o Kancharapalem,2018.0,UA,Drama            ,    Four unconventional love stories set in the town and including the people of Kancherapalem.,152,9.0,3699
100,Kuruthipunal,1995.0,A,"Action, Drama, Thriller            ","    Suave and scintillating, this fast-paced action thriller follows the adventures and investigations of a group of honest police officers, who go undercover to bring down a terror network.",143,8.5,3513
103,Nuvvu Naaku Nachchav,2001.0,U,"Musical, Comedy, Family            ","    Venkateswarlu, aka Venky, comes Hyderabad to his father's friend's house where he meets an engaged girl . Things turn upside down when she expresses her love for him .",184,8.7,3475
108,Maanagaram,2017.0,UA,"Action, Thriller            ",    Four youngsters arrive in a big city and their lives become interlinked.,137,8.1,3371
109,Drushyam,2014.0,U,"Crime, Drama, Family            ","    Rambabu (Venkatesh Daggubati), a cable operator, tries to protect his family from paying the price for their accidental crime.",150,8.3,3344
112,Tholi Prema,1998.0,U,"Drama, Romance            ","    Balu (Pawan Kalyan) falls in love with a girl at first sight but can't find a way to get to know her. He can't believe his luck when she approaches him, because her hobby is collecting the ...                See full summary »",146,8.2,3211
114,Yatra,2018.0,U,"Biography, Drama, Romance            ",    An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.,127,8.2,3193
117,Evaru,2019.0,UA,"Crime, Drama, Thriller            ",    Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case he uncovers some surprising facts.,118,8.2,3115
